Ind,Sample,First_Assign,First_Per,Second_Assign,Second_Per,Third_Assign,Third_Per,Fourth_Assign,Fourth_Per,Fifth_Assign,Fifth_Per
QAc-G-0115,/TMA,Magazine,50.751,Kessler,49.106,Porter,0.133,Sugar_Loaf,0.01,Pryor,0
QAc-G-0116,/TMA,Kessler,99.332,Magazine,0.667,Sugar_Loaf,0,Porter,0,Pryor,0
QAc-G-0117,/TMA,Magazine,99.935,Porter,0.065,Kessler,0,Pryor,0,Sugar_Loaf,0
QAc-G-0118,/TMA,Kessler,65.394,Magazine,34.596,Porter,0.007,Pryor,0.002,Sugar_Loaf,0.001
QAc-G-0119,/TMA,Magazine,100,Sugar_Loaf,0,Porter,0,Pryor,0,Kessler,0
QAc-G-0120,/TMA,Kessler,85.51,Magazine,12.812,Sugar_Loaf,1.678,Porter,0,Pryor,0
QAc-G-0121,/TMA,Pryor,93.678,Magazine,6.322,Porter,0.001,Kessler,0,Sugar_Loaf,0
QAc-G-0122,/TMA,Magazine,73.936,Kessler,16.254,Pryor,8.838,Porter,0.971,Sugar_Loaf,0
QAc-G-0123,/TMA,Pryor,94.922,Kessler,3.835,Magazine,1.237,Porter,0.006,Sugar_Loaf,0
QAc-G-0124,/TMA,Magazine,71.784,Pryor,28.206,Porter,0.008,Kessler,0.002,Sugar_Loaf,0
QAc-G-0125,/TMA,Magazine,92.773,Kessler,5.997,Pryor,1.05,Porter,0.181,Sugar_Loaf,0
QAc-G-0126,/TMA,Kessler,77.008,Porter,19.874,Pryor,1.773,Magazine,1.345,Sugar_Loaf,0
QAc-G-0127,/TMA,Magazine,71.093,Pryor,28.898,Porter,0.009,Kessler,0,Sugar_Loaf,0
QAc-G-0128,/TMA,Magazine,99.58,Kessler,0.248,Porter,0.115,Pryor,0.057,Sugar_Loaf,0
QAc-G-0129,/TMA,Magazine,95.934,Pryor,3.719,Kessler,0.324,Porter,0.023,Sugar_Loaf,0
QAc-G-0130,/TMA,Pryor,99.608,Kessler,0.384,Magazine,0.008,Porter,0.001,Sugar_Loaf,0
QAc-G-0131,/TMA,Pryor,65.433,Magazine,31.069,Kessler,3.462,Porter,0.036,Sugar_Loaf,0
QAc-G-0132,/TMA,Magazine,72.892,Pryor,26.169,Kessler,0.71,Porter,0.229,Sugar_Loaf,0
QAc-G-0133,/TMA,Pryor,87.912,Porter,9.92,Magazine,1.673,Kessler,0.494,Sugar_Loaf,0
QAc-G-0134,/TMA,Kessler,57.134,Pryor,41.853,Magazine,0.979,Porter,0.034,Sugar_Loaf,0
QAc-G-0135,/TMA,Magazine,99.994,Sugar_Loaf,0.005,Kessler,0.001,Porter,0,Pryor,0
QAc-G-0136,/TMA,Kessler,93.867,Magazine,6.132,Porter,0.001,Pryor,0,Sugar_Loaf,0
QAc-G-0137,/TMA,Magazine,100,Pryor,0,Kessler,0,Porter,0,Sugar_Loaf,0
QAc-G-0138,/TMA,Magazine,99.999,Kessler,0.001,Pryor,0,Sugar_Loaf,0,Porter,0
QAc-G-0139,/TMA,Porter,82.598,Magazine,17.4,Pryor,0.001,Kessler,0.001,Sugar_Loaf,0
QAc-G-0140,/TMA,Magazine,99.915,Porter,0.052,Pryor,0.032,Kessler,0,Sugar_Loaf,0
QAc-G-0141,/TMA,Pryor,82.41,Magazine,13.5,Kessler,4.081,Porter,0.01,Sugar_Loaf,0
QAc-G-0142,/TMA,Kessler,90.776,Magazine,9.223,Sugar_Loaf,0.001,Pryor,0,Porter,0
QAc-G-0143,/TMA,Porter,91.892,Kessler,8.021,Sugar_Loaf,0.087,Pryor,0,Magazine,0
QAc-G-0144,/TMA,Magazine,54.674,Kessler,45.326,Sugar_Loaf,0,Porter,0,Pryor,0
QAc-G-0145,/TMA,Kessler,99.973,Magazine,0.027,Pryor,0,Sugar_Loaf,0,Porter,0
QAc-G-0146,/TMA,Pryor,97.292,Magazine,2.597,Kessler,0.058,Porter,0.054,Sugar_Loaf,0
QAc-G-0147,/TMA,Magazine,100,Kessler,0,Pryor,0,Porter,0,Sugar_Loaf,0
QAc-G-0148,/TMA,Magazine,99.933,Kessler,0.05,Pryor,0.017,Porter,0,Sugar_Loaf,0
